extraction_ID,collection_year,project,sample_type,extraction_plate,extraction_well,sample_ID,sample_replicate,sample_ID_date,seq_date,amplicon,pcr_personnel,pcr_mastermix,amplicon_pcr_dilutution,normalization,bead_size_selection
e00628,2021,NBS,field_blank,1_2022,B03,e00628_A,A,e00628_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00629,2021,NBS,field_blank,1_2022,C03,e00629_A,A,e00629_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00630,2021,NBS,sample,1_2022,D03,e00630_A,A,e00630_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00631,2021,NBS,sample,1_2022,E03,e00631_A,A,e00631_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00632,2021,NBS,sample,1_2022,F03,e00632_A,A,e00632_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00633,2021,NBS,field_blank,1_2022,G03,e00633_A,A,e00633_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00634,2021,NBS,sample,1_2022,H03,e00634_A,A,e00634_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00635,2021,NBS,sample,1_2022,A04,e00635_A,A,e00635_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00636,2021,NBS,sample,1_2022,B04,e00636_A,A,e00636_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00637,2021,NBS,field_blank,1_2022,C04,e00637_A,A,e00637_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00638,2021,NBS,sample,1_2022,D04,e00638_A,A,e00638_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00639,2021,NBS,sample,1_2022,E04,e00639_A,A,e00639_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00640,2021,NBS,sample,1_2022,F04,e00640_A,A,e00640_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00641,2021,NBS,sample,1_2022,G04,e00641_A,A,e00641_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00642,2021,NBS,sample,1_2022,H04,e00642_A,A,e00642_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00643,2021,NBS,sample,1_2022,A05,e00643_A,A,e00643_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00644,2021,NBS,field_blank,1_2022,B05,e00644_A,A,e00644_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00645,2021,NBS,sample,1_2022,C05,e00645_A,A,e00645_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
