AlternateID,CommonName,Phylum,Class,Order,Family,Genus,SpeciesName,Collector,CollectionDate,collection_year,CruiseID,Event ID,Haul,Station,Equipment_Gear,Locality,StartLatitude_N,StartLongitude_W
Norton10_292,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_293,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_294,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_295,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_296,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_297,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_298,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_299,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_300,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,33,Bottom Trawl,eastern Bering Sea,62.00,-168.00
Norton10_301,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
