extraction_ID,Sample_Name,Collection_Date_local,Collection_Time_local,Cast_No.,Rosette_position,Station,Depth_m,Lat_dec,Lon_dec,temperature_ch1,temperature_ch2,salinity_ch1,salinity_ch2
e04252,E2029.NC.SKQ23,9/21/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e04253,E2030.NC.SKQ23,9/14/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1053.SKQ2021,E1053.SKQ2021,11/8/2021,13:04,1,4,DBO3.8,46.131,67.67666667,-168.9496667,0.3058,0.3039,32.96,32.9551
E1054.SKQ2021,E1054.SKQ2021,11/8/2021,13:04,1,10,DBO3.8,30.529,67.67666667,-168.9496667,0.5968,0.5956,32.8781,32.8753
E1055.SKQ2021,E1055.SKQ2021,11/8/2021,13:04,1,16,DBO3.8,10.304,67.67666667,-168.9496667,-0.34,-0.3425,30.6089,30.6045
E1056.SKQ2021,E1056.SKQ2021,11/9/2021,17:39,2,3,DBO4.1,49.348,71.1935,-160.2648333,-1.1147,-1.1261,32.46,32.4604
E1057.SKQ2021,E1057.SKQ2021,11/9/2021,17:39,2,8,DBO4.1,30.177,71.1935,-160.2648333,0.2772,0.2745,30.7279,30.7226
E1058.SKQ2021,E1058.SKQ2021,11/9/2021,17:39,2,14,DBO4.1,9.922,71.1935,-160.2648333,0.2692,0.2665,30.7272,30.7227
E1059.SKQ2021,E1059.SKQ2021,11/9/2021,19:55,3,2,DBO4.2,43.305,71.32183333,-160.6568333,-0.985,-0.9894,32.4094,32.4049
E1060.SKQ2021,E1060.SKQ2021,11/9/2021,19:55,3,6,DBO4.2,30.387,71.32183333,-160.6568333,-4.00E-04,-0.006,31.9058,31.9097
E1061.SKQ2021,E1061.SKQ2021,11/9/2021,19:55,3,11,DBO4.2,10.251,71.32183333,-160.6568333,0.043,0.0427,30.664,30.6593
E1062.SKQ2021,E1062.SKQ2021,11/9/2021,22:19,4,2,DBO4.3,43.344,71.45433333,-161.0393333,-0.2657,-0.2677,32.1225,32.1166
E1063.SKQ2021,E1063.SKQ2021,11/9/2021,22:19,4,5,DBO4.3,30.407,71.45433333,-161.0393333,-0.2475,-0.2486,32.1213,32.1167
E1064.SKQ2021,E1064.SKQ2021,11/9/2021,22:19,4,11,DBO4.3,10.307,71.45433333,-161.0393333,-1.4981,-1.5196,30.7504,30.7382
