"","qseqid","species","seq_percID","top_perc","diff","taxonomic_level","taxon","genus","family","order","class","phylum","kingdom"
"86","ASV_0691","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"87","ASV_0694","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"88","ASV_0698","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"89","ASV_0708","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"90","ASV_0709","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"91","ASV_0718","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"92","ASV_0719","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"93","ASV_0722","Oncorhynchus tshawytscha",98.824,98.824,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"94","ASV_0726","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"95","ASV_0737","Oncorhynchus gorbuscha",100,100,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"96","ASV_0741","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"97","ASV_0746","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"98","ASV_0756","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"99","ASV_0758","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
